DEPTH,BRITTLE_HORZ,BRITTLE_VERT,COHESION,DEN,DTC,E_HORZ,E_VERT,GGRM,GMPO,GMTH,GMUR,MSPD,NPRL,PF,PP,PR_HORZ,PR_VERT,R20F,R30F,R40F,R60F,R85F,SHDEF,SHMAX,SHMIN,ST,SV,TOC,UCS,VP,VPVS_X,VPVS_Y,VS_X,VS_Y
2951.000,51.926,53.974,19.616,2.685,63.104,47.422,49.235,85.057,3.269,15.393,0.602,6.610,13.900,69.817,52.341,0.299,0.294,1.302,1.293,1.280,1.281,1.282,22.272,85.719,63.447,17.538,72.779,0.001,263.065,4829.486,1.804,1.852,2677.078,2607.375
2951.125,51.418,53.699,19.332,2.687,63.221,47.154,49.163,82.424,3.128,14.899,0.606,6.629,13.318,69.913,52.344,0.301,0.296,1.309,1.300,1.287,1.288,1.289,22.114,85.617,63.503,17.364,72.782,0.001,260.454,4821.959,1.803,1.857,2674.683,2597.276
2951.250,51.943,53.834,19.240,2.683,63.312,47.182,48.854,79.959,2.969,14.328,0.607,6.641,12.671,69.410,52.346,0.298,0.294,1.323,1.314,1.300,1.302,1.303,22.179,85.496,63.318,17.299,72.785,0.001,259.481,4814.981,1.805,1.850,2667.570,2603.074
2951.375,52.630,54.102,19.264,2.678,63.327,47.342,48.653,78.006,2.852,13.720,0.614,6.637,12.119,68.909,52.348,0.294,0.291,1.339,1.330,1.316,1.318,1.319,22.313,85.448,63.134,17.301,72.788,0.001,259.510,4813.537,1.807,1.842,2663.796,2613.261
2951.500,52.739,54.147,19.331,2.678,63.250,47.450,48.703,76.556,2.815,13.639,0.617,6.622,11.854,68.929,52.350,0.294,0.291,1.353,1.343,1.330,1.331,1.332,22.367,85.534,63.167,17.313,72.791,0.001,259.690,4819.205,1.808,1.842,2664.867,2616.572
2951.625,51.798,53.658,19.553,2.686,63.017,47.492,49.127,76.373,2.846,14.144,0.634,6.612,12.047,70.060,52.352,0.300,0.296,1.359,1.349,1.335,1.337,1.338,22.287,85.956,63.669,17.361,72.794,0.001,260.420,4842.919,1.813,1.857,2670.966,2607.957
2951.750,49.680,52.394,19.878,2.700,62.295,47.383,49.708,79.031,2.928,14.688,0.518,6.613,12.506,72.443,52.354,0.312,0.306,1.357,1.347,1.333,1.335,1.336,22.028,86.749,64.721,17.384,72.797,0.001,260.764,4890.132,1.827,1.891,2675.945,2586.108
2951.875,48.322,51.360,20.277,2.714,61.832,47.389,49.942,81.577,2.998,15.149,0.476,6.621,12.988,74.307,52.357,0.320,0.313,1.348,1.338,1.324,1.326,1.328,21.894,87.448,65.554,17.450,72.800,0.001,261.748,4928.595,1.846,1.917,2670.141,2571.233
2952.000,48.235,50.922,20.713,2.724,61.592,47.595,49.835,82.810,3.024,15.842,0.491,6.633,13.269,75.085,52.359,0.322,0.315,1.335,1.326,1.312,1.314,1.315,21.966,87.886,65.920,17.569,72.803,0.001,263.535,4948.609,1.862,1.925,2657.631,2570.763
2952.125,49.233,51.200,20.918,2.725,61.683,47.832,49.482,82.997,3.000,16.215,0.461,6.651,13.327,74.518,52.361,0.317,0.312,1.321,1.312,1.298,1.300,1.301,22.159,87.842,65.683,17.670,72.806,0.001,265.057,4939.046,1.867,1.913,2645.697,2581.728
2952.250,50.651,52.026,20.831,2.717,62.064,47.997,49.171,82.867,2.973,16.350,0.452,6.668,13.354,73.095,52.363,0.309,0.306,1.310,1.301,1.287,1.289,1.290,22.368,87.413,65.045,17.736,72.809,0.001,266.037,4911.104,1.858,1.891,2643.168,2597.802
2952.375,52.106,53.170,20.558,2.701,62.455,48.109,49.038,82.729,2.960,16.784,0.483,6.677,13.334,71.315,52.365,0.301,0.298,1.305,1.296,1.282,1.284,1.286,22.562,86.803,64.240,17.763,72.812,0.001,266.439,4880.451,1.840,1.865,2652.303,2616.555
2952.500,53.247,54.192,20.212,2.682,62.736,48.143,48.984,82.687,2.934,16.979,0.554,6.675,13.023,69.719,52.368,0.294,0.292,1.309,1.299,1.285,1.288,1.290,22.695,86.224,63.529,17.723,72.815,0.004,265.840,4858.501,1.822,1.845,2666.030,2633.748
2952.625,54.280,54.985,20.198,2.668,62.682,48.534,49.170,81.434,2.883,16.483,0.565,6.662,12.036,68.795,52.370,0.289,0.288,1.323,1.314,1.300,1.303,1.305,22.960,86.170,63.210,17.705,72.818,0.028,265.573,4866.954,1.816,1.833,2680.218,2655.910
2952.750,55.416,55.677,20.656,2.662,62.138,49.438,49.674,76.393,2.802,15.553,0.578,6.647,10.509,68.520,52.372,0.287,0.286,1.348,1.339,1.325,1.328,1.330,23.441,86.710,63.269,17.794,72.821,0.009,266.916,4907.387,1.820,1.827,2695.772,2686.763
2952.875,56.638,56.398,21.389,2.661,61.424,50.642,50.421,67.250,2.714,14.315,0.707,6.634,8.764,68.546,52.374,0.284,0.285,1.381,1.372,1.359,1.362,1.364,24.053,87.558,63.505,17.962,72.824,0.001,269.429,4962.101,1.829,1.823,2713.412,2721.706
2953.000,57.747,57.308,22.160,2.665,60.793,51.881,51.474,59.053,2.650,12.784,0.793,6.627,7.233,68.591,52.376,0.283,0.284,1.419,1.411,1.397,1.400,1.402,24.667,88.393,63.727,18.181,72.827,0.001,272.708,5013.573,1.830,1.820,2739.029,2754.154
2953.125,58.557,58.316,22.826,2.665,60.306,52.823,52.597,57.207,2.649,11.349,0.857,6.630,6.376,68.550,52.378,0.282,0.283,1.455,1.446,1.433,1.436,1.438,25.131,88.921,63.790,18.479,72.830,0.001,277.179,5050.868,1.822,1.817,2771.847,2780.163
2953.250,58.954,59.041,23.093,2.658,60.145,53.179,53.261,61.611,2.710,10.494,0.902,6.636,6.184,68.316,52.381,0.281,0.281,1.482,1.473,1.460,1.463,1.465,25.317,88.981,63.664,18.685,72.833,0.004,280.272,5064.194,1.810,1.812,2797.199,2794.201
2953.375,58.831,59.331,23.121,2.652,60.195,53.139,53.612,68.677,2.801,10.301,0.943,6.639,6.459,68.280,52.383,0.282,0.281,1.499,1.491,1.478,1.480,1.482,25.287,88.865,63.579,18.792,72.836,0.023,281.881,5064.644,1.801,1.812,2812.747,2795.483
2953.500,59.073,59.682,23.391,2.652,60.088,53.383,53.963,74.591,2.920,10.620,0.891,6.635,6.855,68.283,52.385,0.281,0.280,1.510,1.501,1.488,1.490,1.491,25.411,88.967,63.556,18.966,72.839,0.069,284.496,5072.821,1.796,1.810,2823.749,2802.694
2953.625,60.307,60.513,23.895,2.657,59.949,54.116,54.314,76.068,2.994,11.101,0.778,6.626,7.004,67.742,52.387,0.277,0.277,1.515,1.506,1.492,1.494,1.496,25.846,89.229,63.383,19.209,72.842,0.011,288.142,5083.348,1.796,1.800,2830.983,2823.846
2953.750,61.552,61.270,24.371,2.666,59.895,54.863,54.589,73.598,3.005,11.400,0.707,6.612,6.853,67.198,52.389,0.273,0.273,1.518,1.509,1.495,1.497,1.498,26.291,89.526,63.236,19.407,72.845,0.001,291.107,5091.360,1.797,1.791,2833.153,2842.942
2953.875,61.964,61.274,24.800,2.675,59.673,55.345,54.675,69.993,2.971,11.701,0.639,6.596,6.560,67.466,52.392,0.273,0.274,1.519,1.509,1.495,1.496,1.497,26.530,89.971,63.441,19.505,72.848,0.001,292.578,5109.289,1.807,1.792,2827.553,2851.428
2954.000,61.243,60.235,25.090,2.679,59.361,55.330,54.364,67.294,2.865,11.999,0.625,6.593,6.415,68.727,52.394,0.277,0.279,1.513,1.502,1.488,1.489,1.490,26.434,90.478,64.044,19.466,72.851,0.001,291.994,5134.613,1.828,1.805,2809.349,2843.957
2954.125,58.733,58.075,24.801,2.680,59.186,54.301,53.687,66.319,2.726,12.353,0.682,6.621,6.739,70.909,52.396,0.287,0.289,1.492,1.482,1.467,1.468,1.468,25.729,90.663,64.934,19.167,72.855,0.001,287.499,5147.740,1.850,1.835,2782.812,2805.138
2954.250,55.559,55.802,24.061,2.682,59.226,52.767,52.980,67.114,2.568,12.953,0.761,6.658,7.544,73.006,52.398,0.300,0.299,1.460,1.449,1.435,1.435,1.435,24.762,90.472,65.710,18.747,72.858,0.001,281.207,5141.308,1.863,1.869,2759.032,2751.014
2954.375,53.114,54.289,23.126,2.680,59.592,51.297,52.324,69.523,2.432,13.586,0.838,6.678,8.746,74.023,52.400,0.308,0.306,1.421,1.409,1.395,1.395,1.395,23.918,89.898,65.980,18.381,72.861,0.001,275.710,5112.447,1.863,1.890,2743.501,2704.745
2954.500,51.737,53.697,22.201,2.672,60.116,50.150,51.852,72.401,2.331,14.217,0.879,6.670,10.114,73.939,52.402,0.312,0.307,1.382,1.371,1.357,1.356,1.356,23.323,89.095,65.772,18.120,72.864,0.001,271.794,5070.117,1.851,1.896,2739.435,2674.738
2954.625,50.931,53.471,21.362,2.664,60.651,49.248,51.449,74.164,2.311,14.969,0.882,6.640,11.281,73.426,52.405,0.313,0.307,1.355,1.344,1.329,1.329,1.329,22.887,88.304,65.417,17.883,72.867,0.003,268.252,5026.328,1.836,1.894,2737.695,2653.495
2954.750,50.017,52.976,20.608,2.660,61.117,48.383,50.931,74.911,2.358,15.396,0.836,6.599,12.012,73.196,52.407,0.314,0.308,1.340,1.329,1.315,1.314,1.314,22.454,87.679,65.225,17.608,72.870,0.008,264.116,4989.270,1.829,1.897,2728.414,2630.225
2954.875,49.549,52.575,20.046,2.663,61.500,47.754,50.350,74.661,2.450,15.329,0.743,6.549,12.259,72.874,52.409,0.315,0.307,1.339,1.328,1.314,1.313,1.313,22.160,87.196,65.035,17.374,72.873,0.003,260.604,4953.511,1.826,1.897,2712.335,2611.792
2955.000,49.896,52.411,19.820,2.670,61.938,47.519,49.677,73.895,2.578,14.872,0.638,6.498,12.139,72.358,52.411,0.311,0.306,1.346,1.335,1.322,1.321,1.321,22.103,86.909,64.806,17.259,72.876,0.001,258.888,4922.641,1.831,1.890,2688.530,2604.707
2955.125,50.578,52.245,20.118,2.676,61.891,47.775,49.204,73.691,2.694,14.347,0.518,6.457,11.885,72.350,52.413,0.308,0.305,1.354,1.344,1.331,1.331,1.330,22.273,87.133,64.859,17.318,72.879,0.001,259.777,4926.828,1.847,1.886,2667.484,2611.882
2955.250,52.341,52.764,20.933,2.679,61.598,48.704,49.068,72.522,2.783,13.917,0.475,6.409,11.737,72.042,52.416,0.302,0.301,1.358,1.348,1.335,1.335,1.335,22.822,87.647,64.825,17.631,72.882,0.001,264.460,4951.286,1.864,1.874,2656.664,2642.540
2955.375,54.379,53.695,21.894,2.681,61.164,49.865,49.261,71.222,2.823,13.674,0.473,6.315,11.788,71.557,52.418,0.295,0.296,1.353,1.344,1.331,1.331,1.332,23.497,88.205,64.708,18.055,72.885,0.001,270.827,4979.980,1.874,1.858,2657.187,2680.311
2955.500,55.313,54.258,22.378,2.682,61.040,50.430,49.493,71.391,2.842,13.754,0.494,6.164,12.053,71.310,52.420,0.291,0.294,1.342,1.333,1.321,1.321,1.322,23.821,88.444,64.623,18.306,72.888,0.001,274.591,4992.224,1.875,1.850,2662.264,2698.009
2955.625,55.175,54.441,22.335,2.687,61.203,50.334,49.681,73.808,2.874,14.095,0.518,6.009,12.555,71.236,52.422,0.292,0.293,1.325,1.317,1.305,1.306,1.306,23.768,88.294,64.526,18.375,72.891,0.001,275.620,4979.991,1.867,1.849,2667.896,2692.760
2955.750,54.568,54.374,22.160,2.693,61.404,50.019,49.846,77.391,2.934,14.422,0.555,5.920,13.233,71.398,52.424,0.294,0.295,1.306,1.298,1.286,1.287,1.288,23.578,88.087,64.509,18.382,72.894,0.001,275.724,4963.613,1.857,1.853,2672.209,2678.776
2955.875,53.440,53.906,21.763,2.697,61.626,49.391,49.801,80.960,3.015,14.475,0.614,5.912,13.986,71.777,52.426,0.298,0.297,1.286,1.278,1.266,1.267,1.268,23.208,87.782,64.573,18.265,72.897,0.001,273.978,4943.738,1.850,1.861,2671.585,2655.942
2956.000,52.194,53.252,21.139,2.698,62.015,48.543,49.466,82.269,3.098,13.984,0.720,5.959,14.698,72.010,52.429,0.302,0.300,1.266,1.258,1.247,1.248,1.249,22.742,87.315,64.573,18.036,72.900,0.001,270.535,4914.415,1.845,1.870,2664.059,2628.608
2956.125,51.353,52.762,20.457,2.700,62.507,47.740,48.961,79.706,3.188,12.880,0.929,6.002,15.259,71.825,52.431,0.304,0.300,1.248,1.241,1.230,1.231,1.232,22.339,86.749,64.411,17.773,72.903,0.001,266.601,4875.647,1.839,1.872,2651.437,2604.255
2956.250,51.214,52.611,19.891,2.701,63.066,47.160,48.372,76.452,3.251,11.756,1.131,5.857,15.588,71.187,52.433,0.302,0.299,1.235,1.227,1.216,1.218,1.219,22.095,86.169,64.073,17.568,72.906,0.001,263.526,4834.242,1.834,1.867,2636.580,2589.560
2956.375,52.065,52.930,19.606,2.700,63.540,47.010,47.766,73.696,3.250,10.714,1.307,4.987,15.566,70.106,52.435,0.296,0.294,1.228,1.220,1.209,1.211,1.213,22.123,85.710,63.587,17.490,72.909,0.001,262.343,4799.805,1.831,1.852,2620.794,2591.424
2956.500,53.784,53.793,19.689,2.698,63.735,47.413,47.421,71.053,3.162,9.874,1.485,3.125,15.073,68.783,52.437,0.288,0.288,1.232,1.225,1.213,1.216,1.217,22.461,85.515,63.054,17.574,72.912,0.001,263.606,4784.428,1.831,1.831,2612.645,2612.349
2956.625,56.055,55.316,19.988,2.688,63.601,48.329,47.652,68.214,2.979,9.307,1.606,1.780,13.852,67.192,52.440,0.278,0.279,1.250,1.243,1.231,1.234,1.235,23.070,85.547,62.477,17.746,72.915,0.001,266.193,4794.377,1.825,1.808,2626.457,2652.364
2956.750,57.974,56.935,20.281,2.674,63.261,49.359,48.385,63.863,2.727,8.698,1.677,2.791,11.930,65.816,52.442,0.271,0.273,1.281,1.274,1.262,1.265,1.267,23.693,85.734,62.041,17.868,72.918,0.001,268.015,4822.020,1.814,1.789,2658.059,2694.876
2956.875,58.923,58.121,20.665,2.664,62.631,50.430,49.669,57.203,2.423,8.023,1.699,5.381,9.482,65.410,52.444,0.270,0.271,1.327,1.320,1.308,1.311,1.313,24.227,86.307,62.080,17.921,72.921,0.001,268.812,4873.358,1.804,1.785,2701.787,2730.217
2957.000,58.994,58.777,21.381,2.660,61.509,51.709,51.503,48.614,2.122,7.089,1.725,7.433,6.900,66.284,52.446,0.275,0.275,1.388,1.380,1.368,1.371,1.373,24.743,87.480,62.736,18.001,72.924,0.001,270.012,4957.968,1.801,1.796,2753.544,2761.150
2957.125,59.286,59.227,22.749,2.659,60.060,53.486,53.429,41.244,1.892,6.294,1.653,7.998,4.767,67.926,52.448,0.281,0.281,1.462,1.455,1.442,1.445,1.447,25.476,89.254,63.778,18.294,72.927,0.001,274.417,5076.375,1.813,1.811,2800.543,2802.577
2957.250,60.298,59.752,24.652,2.657,58.515,55.602,55.084,36.607,1.757,5.874,1.518,8.101,3.416,69.563,52.450,0.284,0.285,1.539,1.531,1.518,1.521,1.523,26.422,91.233,64.811,18.815,72.930,0.001,282.220,5204.066,1.835,1.823,2836.415,2854.999
2957.375,62.111,60.678,26.864,2.659,57.280,57.847,56.481,35.892,1.720,5.851,1.410,8.110,2.996,70.602,52.453,0.282,0.285,1.591,1.582,1.569,1.572,1.573,27.517,93.024,65.507,19.557,72.933,0.001,293.357,5312.656,1.855,1.824,2864.143,2912.600
2957.500,64.182,61.835,28.796,2.666,56.659,59.667,57.402,41.402,1.763,6.498,1.224,8.078,3.525,70.781,52.455,0.278,0.282,1.611,1.602,1.589,1.590,1.591,28.485,94.169,65.685,20.352,72.936,0.001,305.274,5372.208,1.865,1.815,2880.213,2959.525
2957.625,63.716,61.577,29.211,2.676,56.762,59.486,57.428,48.401,1.918,7.125,1.300,8.067,5.101,71.480,52.457,0.280,0.284,1.614,1.605,1.591,1.592,1.593,28.354,94.175,65.821,20.649,72.939,0.001,309.741,5364.239,1.866,1.820,2875.234,2947.232
2957.750,60.863,59.983,28.211,2.683,57.310,57.671,56.838,53.521,2.124,7.476,1.601,8.095,7.347,72.830,52.459,0.289,0.291,1.595,1.585,1.571,1.572,1.572,27.291,93.388,66.097,20.386,72.942,0.001,305.791,5316.788,1.860,1.841,2858.021,2887.439
2957.875,57.157,57.787,26.425,2.683,58.004,55.122,55.692,56.456,2.324,7.675,1.929,8.119,9.824,74.079,52.461,0.300,0.299,1.547,1.536,1.523,1.522,1.522,25.858,92.161,66.303,19.791,72.945,0.001,296.872,5249.228,1.854,1.868,2831.107,2810.315
