DEPT    .M ,RMG     .ohmm ,RMN     .ohmm,RMN-RMG,CAL     .cm ,SP      .mv  ,GR      .   ,HAC     .us/m,BHC     .,DEN     .g/cm3 
780.6,2.26,2.265,0.005,23.492,121.845,102.405,402.244,405.716,2.269
780.65,2.241,2.281,0.04,23.453,121.845,103.093,397.115,404.701,2.274
780.7,2.405,2.474,0.069,23.403,121.656,102.995,394.872,403.953,2.284
780.75,2.598,2.64,0.042,23.363,121.325,102.405,397.009,404.434,2.274
780.8,2.533,2.538,0.005,23.333,120.994,101.128,404.06,405.021,2.284
780.85,2.329,2.327,-0.002,23.334,120.805,99.555,407.372,404.541,2.269
780.9,2.259,2.252,-0.007,23.363,120.852,97.59,410.47,403.098,2.274
780.95,2.263,2.25,-0.013,23.383,120.994,95.231,410.684,402.511,2.284
781,2.269,2.253,-0.016,23.383,121.041,92.479,408.013,400.962,2.274
781.05,2.297,2.278,-0.019,23.364,121.136,91.398,404.274,399.679,2.284
781.1,2.323,2.329,0.006,23.362,121.277,91.398,396.902,397.115,2.286
781.15,2.415,2.461,0.046,23.39,121.277,92.676,393.91,397.863,2.294
781.2,2.543,2.582,0.039,23.401,121.136,94.346,393.483,399.252,2.296
781.25,2.547,2.565,0.018,23.377,120.994,97.098,396.581,402.671,2.289
781.3,2.502,2.512,0.01,23.354,121.041,98.769,400.748,406.41,2.278
781.35,2.473,2.455,-0.018,23.334,121.183,100.047,402.671,407.425,2.255
781.4,2.414,2.387,-0.027,23.291,121.136,101.619,404.38,408.173,2.236
781.45,2.378,2.342,-0.036,23.235,121.041,102.405,404.808,408.761,2.217
781.5,2.35,2.31,-0.04,23.18,121.088,102.897,408.654,410.63,2.216
781.55,2.343,2.317,-0.026,23.151,121.23,103.781,412.714,411.432,2.214
781.6,2.376,2.31,-0.066,23.153,121.277,104.174,418.056,413.141,2.217
781.65,2.334,2.248,-0.086,23.163,121.041,103.191,419.017,414.583,2.213
781.7,2.228,2.187,-0.041,23.19,120.852,101.521,419.979,417.468,2.195
781.75,2.179,2.164,-0.015,23.226,121.041,100.047,420.086,418.857,2.179
781.8,2.223,2.174,-0.049,23.241,121.23,98.671,419.444,422.115,2.166
781.85,2.173,2.119,-0.054,23.243,121.325,98.179,418.91,422.917,2.161
781.9,2.038,2.048,0.01,23.244,121.467,97.098,418.483,422.97,2.16
781.95,2.093,2.088,-0.005,23.245,121.277,96.312,417.415,422.703,2.163
782,2.154,2.092,-0.062,23.223,121.136,96.017,419.551,423.077,2.163
782.05,2.07,2.024,-0.046,23.171,121.325,96.607,424.145,424.466,2.168
782.1,2.013,1.975,-0.038,23.133,121.325,97.098,423.291,425.748,2.179
782.15,1.99,1.934,-0.056,23.136,121.277,98.278,423.504,427.137,2.191
