DEPT    .M,RMG     .ohmm   ,RMN     .ohmm,RMN-RMG,CAL     .cm  ,SP      .mv   ,GR      .   ,HAC     .us/m  ,BHC     .   ,DEN     .g/cm3
795.37,3.437,3.811,0.374,22.472,133.143,81.965,390.171,408.28,2.221
795.42,3.645,3.842,0.197,22.501,133.015,81.741,393.269,410.15,2.233
795.47,3.49,3.511,0.021,22.375,132.925,82.19,405.235,414.583,2.237
795.52,3.239,3.226,-0.013,22.142,132.958,82.414,411.752,416.346,2.227
795.57,3.155,3.125,-0.03,21.93,133.049,83.087,417.949,417.788,2.201
795.62,3.098,3.066,-0.032,21.807,133.072,82.414,419.551,418.056,2.176
795.67,2.988,2.984,-0.004,21.799,133.018,81.292,424.145,418.43,2.159
795.72,2.914,2.923,0.009,21.864,132.997,78.6,424.252,417.682,2.147
795.77,2.871,2.918,0.047,21.924,133.069,75.908,425.534,416.4,2.138
795.82,2.848,2.989,0.141,21.946,133.143,74.113,424.466,415.064,2.15
795.87,2.935,3.143,0.208,21.95,133.093,72.655,418.056,412.927,2.165
795.92,3.082,3.326,0.244,21.97,132.923,71.309,415.919,412.66,2.17
795.97,3.179,3.503,0.324,22.011,132.778,70.412,410.256,413.034,2.163
796.02,3.266,3.7,0.434,22.065,132.781,70.075,407.586,411.699,2.167
796.07,3.392,3.864,0.472,22.135,132.911,70.187,407.799,410.417,2.161
796.12,3.528,3.935,0.407,22.203,133.043,70.412,407.799,408.707,2.164
796.17,3.603,3.988,0.385,22.254,133.081,71.421,406.41,406.09,2.166
796.22,3.657,4.068,0.411,22.286,133.03,73.889,402.137,403.526,2.177
796.27,3.801,4.165,0.364,22.288,132.964,76.581,394.979,399.626,2.185
796.32,3.952,4.192,0.24,22.243,132.95,79.273,394.765,399.733,2.195
796.37,3.907,4.023,0.116,22.129,132.995,80.956,397.436,400.588,2.202
796.42,3.704,3.8,0.096,21.987,133.052,81.405,399.893,401.977,2.202
796.47,3.597,3.738,0.141,21.885,133.063,80.844,401.175,404.22,2.197
796.52,3.64,3.787,0.147,21.855,133.017,79.722,401.816,404.968,2.193
