DEPT    .M ,RMG     .ohmm  ,RMN     .ohmm  ,RMN-RMG,CAL     .cm   ,SP      .mv   ,GR      .  ,HAC     .us/m ,BHC     .   ,DEN     .g/cm3 
920.919,1.435,1.575,0.14,23.102,110.19,95.036,417.201,416.85,2.2
920.969,1.42,1.523,0.103,23.098,110.243,96.183,419.231,417.002,2.198
921.019,1.448,1.512,0.064,23.099,110.261,97.044,420.192,416.453,2.19
921.069,1.445,1.517,0.072,23.067,110.226,96.757,414.637,415.484,2.188
921.119,1.441,1.526,0.085,23.003,110.19,95.514,412.714,413.378,2.192
921.169,1.468,1.55,0.082,22.935,110.172,94.941,412.5,412.302,2.21
921.219,1.482,1.581,0.099,22.925,110.066,94.75,410.256,411.073,2.23
921.269,1.489,1.612,0.123,22.965,109.941,94.272,408.44,410.325,2.24
921.319,1.51,1.63,0.12,22.985,109.924,92.743,404.167,408.883,2.239
921.369,1.668,1.685,0.017,22.983,109.924,90.735,403.205,407.914,2.238
921.419,1.895,1.792,-0.103,22.962,109.888,89.493,408.44,407.12,2.231
921.469,1.852,1.808,-0.044,22.915,109.888,89.875,408.44,407.166,2.222
921.519,1.67,1.722,0.052,22.88,109.941,91.5,416.987,407.463,2.219
921.569,1.589,1.674,0.085,22.835,109.995,92.073,419.017,407.349,2.215
921.619,1.553,1.673,0.12,22.734,110.048,91.978,416.56,406.12,2.219
921.669,1.544,1.669,0.125,22.645,110.119,91.309,412.393,405.075,2.221
921.719,1.574,1.681,0.107,22.628,110.101,90.927,404.487,403.51,2.221
921.769,1.642,1.713,0.071,22.676,110.066,91.5,402.137,402.671,2.222
921.819,1.691,1.736,0.045,22.737,110.119,91.978,402.35,402.587,2.219
921.869,1.703,1.722,0.019,22.727,110.208,91.5,405.769,403.51,2.21
921.919,1.671,1.672,0.001,22.625,110.315,90.066,406.303,406.601,2.198
921.969,1.61,1.67,0.06,22.516,110.368,88.633,402.671,409.196,2.192
922.019,1.607,1.698,0.091,22.503,110.315,87.772,399.466,413.675,2.188
922.069,1.64,1.695,0.055,22.615,110.137,87.39,392.521,416.415,2.18
922.119,1.636,1.684,0.048,22.825,109.977,88.155,392.094,419.704,2.173
922.169,1.595,1.671,0.076,23.133,109.906,88.25,397.115,421.352,2.162
922.219,1.588,1.657,0.069,23.534,109.817,88.25,416.774,422.878,2.161
922.269,1.617,1.654,0.037,23.97,109.746,88.25,429.06,422.741,2.167
922.319,1.654,1.67,0.016,24.324,109.693,88.059,446.368,420.116,2.171
922.369,1.662,1.695,0.033,24.521,109.639,87.963,449.145,417.743,2.179
922.419,1.62,1.711,0.091,24.627,109.622,88.155,445.192,414.164,2.19
922.469,1.603,1.744,0.141,24.684,109.604,89.493,440.598,411.821,2.201
922.519,1.667,1.829,0.162,24.706,109.568,90.449,428.312,407.822,2.208
922.569,1.786,1.904,0.118,24.691,109.568,91.5,422.009,404.075,2.219
922.619,1.835,1.927,0.092,24.577,109.639,91.978,412.927,397.001,2.233
922.669,1.852,2.019,0.167,24.334,109.746,91.691,400.641,391.949,2.251
922.719,2.014,2.239,0.225,24.047,109.835,89.971,394.765,386.264,2.268
922.769,2.245,2.42,0.175,23.842,109.924,87.677,388.034,384.463,2.277
922.819,2.36,2.447,0.087,23.731,109.995,86.147,391.239,383.631,2.276
922.869,2.286,2.349,0.063,23.633,109.906,85.192,394.444,383.669,2.268
922.919,2.115,2.201,0.086,23.475,109.728,84.809,397.543,382.898,2.253
922.969,2.056,2.146,0.09,23.29,109.604,83.854,398.291,381.51,2.24
923.019,2.086,2.165,0.079,23.172,109.479,83.28,397.329,378.877,2.231
923.069,2.07,2.145,0.075,23.07,109.426,83.376,397.756,377.663,2.227
923.119,2.058,2.143,0.085,22.927,109.462,85,400,377.328,2.231
923.169,2.088,2.188,0.1,22.797,109.55,86.912,400.321,377.999,2.234
923.219,2.124,2.24,0.116,22.714,109.71,88.346,398.077,379.335,2.242
923.269,2.186,2.295,0.109,22.715,109.817,88.346,394.658,379.708,2.246
923.319,2.32,2.43,0.11,22.793,109.853,87.581,383.974,379.075,2.247
