DEPT    .M    ,RMG     .none ,RMN     .none ,RMN-RMG,CAL     .none ,SP      .none,GR      .none ,HAC     .none,BHC     .none,DEN     .none
842.619,2.259,2.261,0.002,22.339,104.988,90.437,402.35,395.353,2.227
842.669,2.47,2.449,-0.021,22.333,105.127,88.966,396.903,391.347,2.229
842.719,2.665,2.633,-0.032,22.336,105.266,88.573,395.086,389.424,2.235
842.769,2.826,2.814,-0.012,22.347,105.335,88.769,389.315,387.339,2.241
842.819,3.002,2.985,-0.017,22.354,105.405,87.984,386.003,386.805,2.245
842.869,3.16,3.2,0.04,22.358,105.335,87.298,380.342,386.058,2.246
842.919,3.401,3.443,0.042,22.369,105.196,86.808,379.701,385.577,2.244
842.969,3.553,3.455,-0.098,22.378,105.196,86.121,382.691,385.257,2.242
843.019,3.399,3.289,-0.11,22.38,105.335,86.22,383.118,384.614,2.239
843.069,3.268,3.244,-0.024,22.368,105.335,87.494,380.127,382.638,2.231
843.119,3.336,3.301,-0.035,22.347,105.266,88.475,375.427,379.487,2.226
843.169,3.514,3.437,-0.077,22.327,105.196,89.063,375.107,378.152,2.221
843.219,3.717,3.656,-0.061,22.318,105.127,88.965,379.592,375.589,2.22
843.269,3.778,3.702,-0.076,22.324,105.196,89.063,386.646,375.748,2.221
843.319,3.548,3.492,-0.056,22.338,105.266,88.769,387.392,375.641,2.225
843.369,3.301,3.358,0.057,22.354,105.127,89.26,382.265,373.451,2.23
843.419,3.424,3.48,0.056,22.366,104.849,90.633,378.633,371.635,2.23
843.469,3.572,3.631,0.059,22.368,104.71,91.515,371.158,367.256,2.235
843.519,3.714,3.8,0.086,22.362,104.571,90.632,368.695,365.971,2.239
843.569,4.007,3.965,-0.042,22.352,104.293,89.75,366.453,363.622,2.244
843.619,4.09,3.993,-0.097,22.338,104.154,90.142,365.385,362.874,2.246
843.669,4.136,4.13,-0.006,22.331,103.946,91.908,363.035,362.607,2.246
843.719,4.354,4.403,0.049,22.335,103.599,94.261,363.461,362.927,2.245
843.769,4.533,4.541,0.008,22.341,103.529,95.93,364.744,363.889,2.239
843.819,4.53,4.479,-0.051,22.347,103.529,96.322,364.744,364.103,2.232
843.869,4.337,4.333,-0.004,22.352,103.46,96.714,366.132,365.011,2.227
843.919,4.122,4.224,0.102,22.346,103.529,97.008,366.56,365.385,2.228
843.969,3.958,4.165,0.207,22.334,103.529,98.969,367.628,365.011,2.235
844.019,3.994,3.966,-0.028,22.327,103.529,101.031,368.057,364.264,2.245
844.069,4.104,3.691,-0.413,22.323,103.668,103.286,371.048,365.759,2.249
844.119,4.036,3.817,-0.219,22.317,103.807,104.561,374.573,366.72,2.251
844.169,4.012,4.049,0.037,22.315,104.085,105.15,382.156,369.177,2.248
844.219,4.03,3.982,-0.048,22.322,104.293,104.66,383.546,370.352,2.248
844.269,3.945,3.914,-0.031,22.334,104.224,103.58,373.714,369.337,2.255
844.319,3.778,4.057,0.279,22.344,104.154,101.913,364.847,367.949,2.264
844.369,3.901,4.107,0.206,22.347,104.085,100.147,351.496,368.162,2.277
844.419,4.308,3.821,-0.487,22.345,104.015,98.48,353.525,370.085,2.28
844.469,4.413,3.808,-0.605,22.344,104.224,97.303,371.038,374.891,2.281
844.519,4.247,4.082,-0.165,22.349,104.502,96.42,379.703,377.298,2.271
844.569,4.008,4.06,0.052,22.353,104.571,96.028,383.547,379.701,2.254
844.619,3.823,3.883,0.06,22.35,104.64,95.832,382.265,380.716,2.235
844.669,3.855,3.864,0.009,22.35,104.849,96.42,382.051,381.143,2.222
844.719,3.996,3.929,-0.067,22.36,105.127,96.91,385.041,381.997,2.216
844.769,4.041,3.892,-0.149,22.369,105.266,97.401,387.074,383.603,2.21
844.819,3.911,3.799,-0.112,22.367,105.266,96.911,389.423,388.783,2.205
844.869,3.823,3.779,-0.044,22.357,105.196,97.205,388.141,393.483,2.197
844.919,3.947,3.843,-0.104,22.342,105.057,97.401,386.753,395.94,2.189
844.969,4.092,3.894,-0.198,22.324,105.057,97.107,382.481,399.144,2.18
845.019,4.111,3.9,-0.211,22.312,105.196,97.598,378.845,399.681,2.171
