DEPT    .M ,RMG     .none ,RMN     .none   ,RMN-RMG,CAL     .none ,SP      .none,GR      .none,HAC     .non,BHC     .none,DEN     .none 
716.629,1.402,1.864,0.462,22.662,119.534,98.534,428.739,426.388,2.174
716.679,1.435,1.901,0.466,22.662,119.371,97.091,426.389,424.092,2.139
716.729,1.459,1.928,0.469,22.64,119.469,95.937,426.389,422.864,2.156
716.779,1.48,1.956,0.476,22.595,119.631,93.917,423.185,420.834,2.175
716.829,1.516,2.007,0.491,22.523,119.762,92.279,423.18,419.871,2.174
716.879,1.576,2.078,0.502,22.445,120.087,90.836,416.026,418.002,2.178
716.929,1.644,2.156,0.512,22.368,120.282,90.644,416.026,417.575,2.184
716.979,1.696,2.227,0.531,22.306,120.25,90.836,414.21,418.216,2.194
717.029,1.741,2.281,0.54,22.281,120.087,91.029,414.209,418.963,2.193
717.079,1.771,2.308,0.537,22.282,119.957,91.896,418.162,419.551,2.192
717.129,1.752,2.277,0.525,22.291,120.022,93.435,418.163,418.75,2.187
717.179,1.7,2.215,0.515,22.296,120.055,95.552,420.192,417.415,2.188
717.229,1.661,2.185,0.524,22.302,120.022,96.802,420.192,415.812,2.198
717.279,1.665,2.194,0.529,22.314,120.12,96.129,419.231,413.943,2.217
717.329,1.694,2.22,0.526,22.32,120.315,94.781,419.23,412.82,2.239
717.379,1.707,2.235,0.528,22.318,120.445,93.627,417.842,412.393,2.256
717.429,1.697,2.22,0.523,22.312,120.445,93.146,417.842,412.073,2.262
717.479,1.691,2.203,0.512,22.312,120.413,92.857,417.842,412.179,2.256
717.529,1.709,2.216,0.507,22.317,120.413,92.088,417.842,412.446,2.244
717.579,1.707,2.209,0.502,22.321,120.478,89.97,415.278,412.981,2.227
717.629,1.667,2.181,0.514,22.328,120.673,88.72,415.278,412.874,2.216
717.679,1.661,2.182,0.521,22.337,120.999,88.72,414.637,412.981,2.204
717.729,1.679,2.185,0.506,22.351,121.259,89.874,414.637,412.66,2.207
717.779,1.673,2.189,0.516,22.364,121.291,91.894,414.957,412.073,2.214
717.829,1.681,2.215,0.534,22.364,121.161,93.242,414.957,412.072,2.217
717.879,1.69,2.221,0.531,22.357,121.031,93.05,414.744,411.538,2.219
717.929,1.675,2.204,0.529,22.361,121.096,92.28,414.744,411.485,2.227
717.979,1.679,2.198,0.519,22.38,121.161,91.703,414.85,412.5,2.238
718.029,1.685,2.199,0.514,22.396,121.129,91.318,414.85,412.714,2.245
718.079,1.692,2.212,0.52,22.393,121.161,90.258,413.462,413.461,2.254
718.129,1.716,2.245,0.529,22.371,121.226,88.816,413.461,413.194,2.252
718.179,1.727,2.268,0.541,22.347,121.324,87.661,412.286,412.286,2.247
718.229,1.735,2.27,0.535,22.326,121.389,86.988,412.286,409.723,2.236
718.279,1.731,2.261,0.53,22.302,121.487,87.757,414.636,408.548,2.235
718.329,1.76,2.305,0.545,22.294,121.584,88.72,414.637,408.173,2.235
718.379,1.803,2.347,0.544,22.315,121.552,89.971,415.278,408.227,2.238
718.429,1.776,2.311,0.535,22.361,121.584,90.067,415.278,408.28,2.24
718.479,1.764,2.327,0.563,22.406,121.682,90.355,403.315,406.731,2.242
718.529,1.851,2.472,0.621,22.416,121.682,90.163,403.312,406.25,2.24
718.579,2.007,2.675,0.668,22.403,121.617,89.97,392.308,405.449,2.234
718.629,2.195,2.875,0.68,22.391,121.519,89.008,392.31,405.503,2.223
718.679,2.295,2.935,0.64,22.391,121.389,88.142,402.457,407.639,2.211
718.729,2.159,2.732,0.573,22.398,121.357,86.411,402.457,408.921,2.19
718.779,1.937,2.492,0.555,22.406,121.292,85.641,415.912,411.644,2.17
718.829,1.849,2.417,0.568,22.411,121.194,85.256,415.92,412.447,2.15
718.879,1.862,2.419,0.557,22.411,121.259,85.736,417.949,412.714,2.143
718.929,1.875,2.416,0.541,22.412,121.357,85.159,417.949,413.462,2.141
718.979,1.863,2.409,0.546,22.416,121.454,85.063,417.628,413.835,2.152
719.029,1.868,2.421,0.553,22.424,121.487,84.39,417.628,413.569,2.163
719.079,1.887,2.446,0.559,22.432,121.357,83.235,416.667,413.836,2.165
719.129,1.9,2.484,0.584,22.436,121.226,83.235,416.666,414.37,2.16
719.179,1.959,2.564,0.605,22.437,121.259,83.62,415.598,415.598,2.149
719.229,2.026,2.627,0.601,22.433,121.324,84.87,415.598,416.026,2.14
719.279,2.052,2.636,0.584,22.425,121.259,84.967,412.822,416.293,2.128
719.329,2.061,2.635,0.574,22.421,121.226,85.256,412.819,415.865,2.126
719.379,2.044,2.624,0.58,22.433,121.357,85.544,409.829,414.369,2.133
719.429,2.013,2.609,0.596,22.454,121.454,85.737,409.829,413.088,2.147
719.479,1.977,2.572,0.595,22.475,121.454,85.159,404.916,410.845,2.161
719.529,1.904,2.48,0.576,22.492,121.389,84.39,404.915,410.417,2.179
719.579,1.829,2.39,0.561,22.508,121.259,84.101,404.38,411.486,2.185
719.629,1.809,2.365,0.556,22.534,121.194,85.063,404.381,412.875,2.194
719.679,1.844,2.364,0.52,22.573,121.226,86.121,407.799,416.934,2.194
719.729,1.801,2.312,0.511,22.607,121.194,88.046,407.799,420.405,2.195
719.779,1.75,2.349,0.599,22.634,121.194,90.066,404.702,420.139,2.196
719.829,2.001,2.68,0.679,22.667,121.389,92.28,404.708,418.002,2.204
719.879,2.361,3.037,0.676,22.693,121.487,92.953,419.338,418.056,2.198
719.929,2.403,3.01,0.607,22.695,121.552,92.761,419.338,418.643,2.199
719.979,2.202,2.732,0.53,22.662,121.682,92.376,433.116,419.284,2.192
720.029,2.04,2.526,0.486,22.63,121.78,91.03,433.12,419.231,2.183
720.079,1.902,2.381,0.479,22.649,121.812,89.873,432.585,418.696,2.177
720.129,1.776,2.281,0.505,22.687,121.682,87.661,432.584,417.841,2.165
720.179,1.828,2.372,0.544,22.696,121.715,86.218,424.573,415.545,2.149
720.229,2.015,2.597,0.582,22.668,121.942,85.641,424.573,413.943,2.134
720.279,2.176,2.798,0.622,22.613,121.877,85.737,414.108,411.059,2.128
720.329,2.318,2.971,0.653,22.548,121.552,86.988,414.1,409.829,2.135
720.379,2.579,3.226,0.647,22.487,121.552,87.661,408.333,408.974,2.149
720.429,2.777,3.429,0.652,22.431,121.877,87.95,408.333,409.348,2.157
720.479,2.696,3.371,0.675,22.388,122.008,89.104,404.595,409.669,2.16
720.529,2.622,3.308,0.686,22.347,122.008,89.297,404.594,407.747,2.159
720.579,2.685,3.383,0.698,22.308,121.91,88.334,402.35,406.249,2.148
720.629,2.781,3.506,0.725,22.29,121.715,86.506,402.352,404.166,2.142
720.679,2.891,3.661,0.77,22.294,121.65,83.62,410.15,401.977,2.144
720.729,2.932,3.69,0.758,22.306,121.584,81.599,410.15,401.015,2.151
720.779,2.801,3.496,0.695,22.306,121.519,79.964,407.266,398.452,2.157
720.829,2.638,3.33,0.692,22.295,121.487,80.156,407.259,396.687,2.164
720.879,2.717,3.452,0.735,22.302,121.422,80.733,394.979,394.017,2.171
720.929,2.889,3.671,0.782,22.322,121.389,81.406,394.979,393.323,2.173
720.979,3.061,3.859,0.798,22.318,121.422,82.465,386.861,391.56,2.174
721.029,3.261,4.023,0.762,22.28,121.454,84.773,386.859,390.172,2.173
721.079,3.275,4.041,0.766,22.236,121.487,86.411,385.577,386.805,2.172
721.129,3.28,4.107,0.827,22.227,121.487,87.854,385.578,385.63,2.166
721.179,3.374,4.273,0.899,22.244,121.454,88.238,388.675,384.615,2.153
721.229,3.377,4.302,0.925,22.253,121.454,89.489,388.675,384.882,2.141
721.279,3.334,4.214,0.88,22.246,121.389,91.509,390.918,384.936,2.128
721.329,3.239,4.126,0.887,22.232,121.291,93.051,390.918,384.668,2.133
721.379,3.12,4.059,0.939,22.234,121.226,95.552,389.209,383.333,2.145
721.429,3.163,4.039,0.876,22.261,121.129,98.15,389.209,383.013,2.171
721.479,3.378,4.008,0.63,22.29,121.129,100.362,391.773,386.965,2.196
721.529,3.468,4.022,0.554,22.304,121.259,102.479,391.774,388.888,2.208
