HAC,DEN,BHC
357.404,2.27306,369.148
379.523,2.28085,387.268
400.316,2.27574,403.234
413.518,2.26282,414.557
420.329,2.24333,420.792
423.377,2.22295,424.486
424.619,2.20547,427.201
425.167,2.19187,429.678
425.021,2.18439,431.607
424.058,2.18119,432.756
422.687,2.18029,433.78
421.418,2.18043,434.861
419.85,2.1808,435.329
417.582,2.18109,434.998
415.846,2.18135,434.353
416.246,2.18145,434.896
417.753,2.18128,434.846
419.068,2.18095,433.839
420.753,2.18061,433.273
423.381,2.1803,433.528
425.21,2.18005,432.372
425.753,2.1798,429.698
425.517,2.17946,427.35
425.134,2.17911,426.556
424.967,2.17876,426.721
424.856,2.17824,426.719
424.449,2.17736,426.477
423.949,2.17608,426.703
423.501,2.1744,427.227
423.282,2.17248,428.129
423.417,2.1706,429.382
423.949,2.1691,430.651
424.818,2.16837,431.92
425.347,2.16867,432.699
425.654,2.17002,433.304
425.415,2.1721,433.313
423.244,2.17437,431.786
415.792,2.17663,424.611
398.345,2.1798,411.213
393.116,2.18211,410.359
394.172,2.18243,411.041
392.443,2.18159,405.988
388.699,2.1807,399.252
385.579,2.18002,393.864
382.786,2.17978,388.501
380.277,2.17972,383.04
378.984,2.17898,379.128
378.372,2.17717,376.653
378.52,2.17459,375.346
382.12,2.17119,377.208
391.282,2.16635,382.616
403.772,2.16018,389.945
413.492,2.1546,396.446
420.033,2.15088,400.269
423.129,2.14738,402.133
419.919,2.14409,401.914
405.289,2.14381,397.897
395.282,2.14614,398.081
397.928,2.14807,404.109
403.644,2.14827,408.727
413.693,2.14639,414.611
421.091,2.14403,419.443
424.167,2.14202,422.085
425.429,2.14079,424.261
426.378,2.14049,426.785
426.747,2.14067,428.677
426.194,2.14072,429.696
425.069,2.14066,430.898
424.08,2.14071,432.655
424.284,2.14082,434.984
425.716,2.14105,437.581
427.053,2.14162,439.575
427.583,2.14281,440.527
427.168,2.14433,440.051
425.863,2.14574,438.243
424.141,2.14701,437.65
423.504,2.14845,438.847
424.335,2.15002,439.806
423.274,2.15158,438.001
421.57,2.15328,436.452
424.694,2.15567,439.466
427.169,2.15883,440.711
427.387,2.16256,438.691
426.974,2.16611,435.684
425.513,2.1685,431.461
423.444,2.17014,431.044
424.285,2.17168,435.048
425.577,2.17294,436.137
426,2.17385,435.673
426.082,2.17466,435.564
426.138,2.17561,435.937
426.269,2.17695,436.643
425.856,2.17842,436.426
424.624,2.17963,435.454
422.928,2.1805,435.018
423.201,2.18101,436.475
425.66,2.18154,439.177
426.408,2.18207,438.352
423.681,2.18201,432.633
413.98,2.18235,425.101
407.534,2.18366,423.389
414.062,2.18443,429.254
411.788,2.18475,424.743
392.603,2.18709,404.997
381.039,2.19115,395.128
385.439,2.19314,400.96
401.54,2.19047,410.238
417.889,2.18382,414.244
421.94,2.17663,409.724
424.133,2.17025,405.43
425.806,2.1647,404.588
426.74,2.15991,405.76
426.79,2.1554,406.35
425.498,2.15079,406.648
